libelle_court,libelle_long,libelle_edition,id
'E-ORO','ECONOMIE ET ORGANISATION D''UNE OPERATION','Economie et organisation d''une operation',191
'MT-GP','METHODES D''ADM.ET DE GESTION DES PME PMI','Methodes d''adm.et de gestion des pme pmi',192
'TXSAP','TRAVAUX DE SYNTHESE ET ACTIONS PROFESS.','Travaux de synthese et actions profess.',193
'GQUAL','GESTION DE LA QUALITE (GEST.ENTREPRISES)','Gestion de la qualite (gest.entreprises)',194
'G-DIV','GESTION DIVERS','Gestion divers',195
'TXSAC','TRAV.PROF.SYNTH.ET ACTION.PUBLICI.APPRO.','Trav.prof.synth.et action.publici.appro.',196
'SMCPU','STRATEGIE ET MOYENS DE COMMUNICATION PUB','Strategie et moyens de communication pub',197
'PUBDI','PUBLICITE DIVERS','Publicite divers',198
'AGINF','LANGUE ANGLAISE APPLIQUEE A L''INFORMATIQ','Langue anglaise appliquee a l''informatiq',199
'AGTEC','ANGLAIS TECHNIQUE','Anglais technique',200
'LGDIV','LANGUE TECHNIQUE DIVERSE','Langue technique diverse',201
'CATHO','ENSEIGNEMENT RELIGIEUX CATHOLIQUE','Enseignement religieux catholique',202
'AP-TI','ATELIER DE PRATIQUE:TECHN.INFO.COMM.','Atelier de pratique:techn.info.comm.',203
'ATCOA','ACTION ET COMMUNICATION ADMINISTRATIVES','Action et communication administratives',204
'EVISP','EXPRESSION VISUELLE ET PRODUCTION','Expression visuelle et production',205
'STCOE','STRATEGIE DE COMMUNICAT. DES ENTREPRISES','Strategie de communicat. des entreprises',206
'CTCOM','CONCEPTION ET TECHNIQUE DE COMMUNICATION','Conception et technique de communication',207
'CMNDV','COMMUNICATION DIVERS','Communication divers',208
'TXASS','TRAVAUX D''ASSURANCE','Travaux d''assurance',209
'DCASS','DIFFERENTES CATEGORIES D''ASSURANCE','Differentes categories d''assurance',210
'ASSMF','ASSURANCES MARITIMES FLUVIALES AERIENNES','Assurances maritimes fluviales aeriennes',211
'ASSUD','ASSURANCES DIVERS','Assurances divers',212
'T-GES','TECHNIQUES DE GESTION ET INFORMATIQUE','Techniques de gestion et informatique',213
'DECPV','DECOUVERTE PRATIQUE VIE ORGA. ENTREPRISE','Decouverte pratique vie orga. entreprise',214
'O-TRA','ORGANISATION DU TRAVAIL','Organisation du travail',215
'G-ENT','GESTION DE L''ENTREPRISE','Gestion de l''entreprise',216
'CNTGS','CONTROLE DE GESTION','Controle de gestion',217
'HICVI','HIST.DES ARTS LIEE A LA COMMU.VISUELLE','Hist.des arts liee a la commu.visuelle',386
'TECPM','TECHNOLOGIE PROFESSION-MACH.SPECTACLE','Technologie profession-mach.spectacle',387
'DCVIS','DOCUMENT ET COMMUNICATION VISUELLE','Document et communication visuelle',388
'HISPC','HISTOIRE DU SPECTACLE','Histoire du spectacle',389
'CO-MS','CONNAISSANCE DU MONDE DU SPECTACLE','Connaissance du monde du spectacle',390
'CMEDI','COMEDIE','Comedie',391
'ETROL','ETUDE D''UN ROLE','Etude d''un role',392
'EX-VR','EXPRESSION VERBALE','Expression verbale',393
'EX-CP','EXPRESSION CORPORELLE','Expression corporelle',394
'SONPT','SONORISATION PRATIQUE','Sonorisation pratique',395
'ERSON','ENREGISTREMENTS SONORES','Enregistrements sonores',396
'ETRCO','ETUDE ET REALISATION DE COSTUMES','Etude et realisation de costumes',397
'ECLAR','ECLAIRAGISME ARTISTIQUE','Eclairagisme artistique',398
'SCENO','SCENOGRAPHIE','Scenographie',399
'THEAD','THEATRE-EXPRESSION DRAMATIQUE','Theatre-expression dramatique',400
'EXEMD','EXECUTION MAQUETTES DECORS ACCESSOIRES','Execution maquettes decors accessoires',401
'RGLUM','REGLAGE DE LA LUMIERE','Reglage de la lumiere',402
'RGMES','REGLAGE D''UNE MISE EN SCENE','Reglage d''une mise en scene',403
'RLVMS','RELEVE D''UNE MISE EN SCENE','Releve d''une mise en scene',404
'SCEMX','SCIENCES APPLIQUEES ET ETUDE MATERIAUX','Sciences appliquees et etude materiaux',405
'PEMAQ','PERRUQUAGE MAQUILLAGE','Perruquage maquillage',406
'RDECO','RECHERCHE EN DECORS COSTUMES','Recherche en decors costumes',407
'T-EPH','TECHNIQUE ET EXPRESSION PHOTOGRAPHIQUE','Technique et expression photographique',408
'EX-PC','EXPRES. PLASTIQUE DESSIN CREATION VOLUME','Expres. plastique dessin creation volume',409
'A-ATX','ARTS APPLIQUES AUX TEXTILES','Arts appliques aux textiles',410
'T-PPG','TECHNIQUES DE PROD.PUB.GRAPH.ET AUDIO','Techniques de prod.pub.graph.et audio',411
'ERGON','ERGONOMIE','Ergonomie',412
'HIACO','HISTOIRE DE L''ART ET DU COSTUME','Histoire de l''art et du costume',413
'T-MAE','TECHNIQUES MAINTENANCE - ENTRETIEN','Techniques maintenance - entretien',414
'ETDFO','ETUDES ET DEFINITIONS DES FORMES','Etudes et definitions des formes',415
'ETREA','ETUDES ET REALISATIONS','Etudes et realisations',416
'CREAI','CREATION INDUSTRIELLE','Creation industrielle',417
'INFGR','INFOGRAPHIE','Infographie',418
'CT-RE','CONCEPTION DE REALISATION','Conception de realisation',419
'TECCO','TECHNOLOGIE DE LA COMMUNICATION','Technologie de la communication',420
'HIDA','HISTOIRE DES ARTS','Histoire des arts',421
'MARAD','METIERS ARTS APPLIQUES DIVERS','Metiers arts appliques divers',422
'D-GEO','DESSIN GEOMETRIQUE','Dessin geometrique',423
'D-ART','DESSIN D''ARTS','Dessin d''arts',424
'PR-AR','PRATIQUE ARTISTIQUE','Pratique artistique',425
'HICIV','HIST.CIVILIS.ET DE LEUR EXP.ART.','Hist.civilis.et de leur exp.art.',426
'HISDN','HISTOIRE DES STYLES ET DESSINS','Histoire des styles et dessins',427
'D-VOL','DESSIN:VOLUME','Dessin:volume',428
'D-DOC','DESSIN:DOCUMENT','Dessin:document',429
'CPPVO','COMPOSITION PLANE ET EN VOLUME','Composition plane et en volume',430
'MODVO','MODELAGE ET ETUDES EN VOLUME','Modelage et etudes en volume',431
'DSCRP','DESCRIPTIVE','Descriptive',432
'RCHAR','RECHERCHE ARTISTIQUE','Recherche artistique',433
'BCTEP','BUREAU DE CREATION : TVX ET ETUDES PRAT.','Bureau de creation : tvx et etudes prat.',434
'EDARA','EDUCATION ARTISTIQUE ARTS APPLIQUES','Education artistique arts appliques',435
'BCCOM','BUREAU DE CREATION : COMMUNICATION','Bureau de creation : communication',436
'MODCR','MODES CONVENT. REPRESENTATION','Modes convent. representation',437
'BURET','BUREAU D''ETUDE','Bureau d''etude',438
'HIATK','HISTOIRE DES ARTS ET DES TECHNIQUES','Histoire des arts et des techniques',439
'EDPAA','EDUCATION PLASTIQUE ET ARTS APPLIQUES','Education plastique et arts appliques',440
'TECAP','TECHNOLOGIE APPROFONDISSEMENT','Technologie approfondissement',441
'ETCST','ETUDE DES CONSTRUCTIONS','Etude des constructions',604
'CTMEC','CONSTRUCTION MECANIQUE','Construction mecanique',605
'ME-CT','MECANIQUE ET CONSTRUCTION','Mecanique et construction',606
'T-TCM','TECHNI.GRAPH.TECHNO CONSTR.DES MACHINES','Techni.graph.techno constr.des machines',607
'TDATG','TRAV.DIRIGES ANALY.TECHNIQUE ET EXPR.GRA','Trav.diriges analy.technique et expr.gra',608
'OBPRD','OBTENTION DES PRODUITS','Obtention des produits',609
'INPRD','INDUSTRIALISATION DES PRODUITS','Industrialisation des produits',610
'P-OMF','PREPA., ORGA.: METHODES,FABRIC.,CONTROLE','Prepa., orga.: methodes,fabric.,controle',611
